"label","ECSO_ID","ECSO_labels","Envthes_ID","Envthes_labels","ENVO_ID","ENVO_labels","PATO_ID","PATO_labels","PCO_ID","PCO_labels","BCO_ID","BCO_labels","CHEBI_ID","CHEBI_labels"
"14c age","http://purl.dataone.org/odo/ecso_00002163","14c age","","","","","","","","","","","",""
"14c age margin of error","http://purl.dataone.org/odo/ecso_00002307","14c age margin of error","","","","","","","","","","","",""
"14c age of ch4","http://purl.dataone.org/odo/ecso_00000671","14c age of ch4","","","","","","","","","","","",""
"14c age of methane","http://purl.dataone.org/odo/ecso_00000671","14c age of methane","","","","","","","","","","","",""
"14c calibrated age","http://purl.dataone.org/odo/ecso_00002165","14c calibrated age","","","","","","","","","","","",""
"14c calibrated age kiloyears before present","http://purl.dataone.org/odo/ecso_00002168","14c calibrated age kiloyears before present","","","","","","","","","","","",""
"14c calibrated age years before present (1950)","http://purl.dataone.org/odo/ecso_00002167","14c calibrated age years before present (1950)","","","","","","","","","","","",""
"14c calibrated age years before present (current year)","http://purl.dataone.org/odo/ecso_00002166","14c calibrated age years before present (current year)","","","","","","","","","","","",""
"14c isotope estimated age","http://purl.dataone.org/odo/ecso_00002164","14c isotope estimated age","","","","","","","","","","","",""
"14c mean calibrated years before present","http://purl.dataone.org/odo/ecso_00002367","14c mean calibrated years before present","","","","","","","","","","","",""
"14c uncalibrated age","http://purl.dataone.org/odo/ecso_00002300","14c uncalibrated age","","","","","","","","","","","",""
"2h","http://purl.dataone.org/odo/ecso_00001957","2h","","","","","","","","","","","",""
"aboveground biomass","http://purl.dataone.org/odo/ecso_00001135","aboveground biomass","http://vocabs.lter-europe.net/envthes/msa0001","aboveground biomass","","","","","","","","","",""
"aboveground net primary production carbon flux","http://purl.dataone.org/odo/ecso_00000301","aboveground net primary production carbon flux","","","","","","","","","","","",""
"aboveground npp carbon flux","http://purl.dataone.org/odo/ecso_00000301","aboveground npp carbon flux","","","","","","","","","","","",""
"aboveground standing biomass","http://purl.dataone.org/odo/ecso_00001135","aboveground standing biomass","","","","","","","","","","","",""
"absolute height","http://purl.dataone.org/odo/ecso_00001756","absolute height","","","","","","","","","","","",""
"absorbed fraction incoming par","http://purl.dataone.org/odo/ecso_00001576","absorbed fraction incoming par","","","","","","","","","","","",""
"absorbed fraction incoming photosynthetically active radiation","http://purl.dataone.org/odo/ecso_00001576","absorbed fraction incoming photosynthetically active radiation","","","","","","","","","","","",""
