"ECSO_labels","ECSO_ID"
"14c age","http://purl.dataone.org/odo/ecso_00002163"
"14c age margin of error","http://purl.dataone.org/odo/ecso_00002307"
"14c age of ch4","http://purl.dataone.org/odo/ecso_00000671"
"14c age of methane","http://purl.dataone.org/odo/ecso_00000671"
"14c calibrated age","http://purl.dataone.org/odo/ecso_00002165"
"14c calibrated age kiloyears before present","http://purl.dataone.org/odo/ecso_00002168"
"14c calibrated age years before present (1950)","http://purl.dataone.org/odo/ecso_00002167"
"14c calibrated age years before present (current year)","http://purl.dataone.org/odo/ecso_00002166"
"14c isotope estimated age","http://purl.dataone.org/odo/ecso_00002164"
"14c mean calibrated years before present","http://purl.dataone.org/odo/ecso_00002367"
"14c uncalibrated age","http://purl.dataone.org/odo/ecso_00002300"
"2h","http://purl.dataone.org/odo/ecso_00001957"
"aboveground biomass","http://purl.dataone.org/odo/ecso_00001135"
"aboveground net primary production carbon flux","http://purl.dataone.org/odo/ecso_00000301"
"aboveground npp carbon flux","http://purl.dataone.org/odo/ecso_00000301"
"aboveground standing biomass","http://purl.dataone.org/odo/ecso_00001135"
"absolute height","http://purl.dataone.org/odo/ecso_00001756"
"absorbed fraction incoming par","http://purl.dataone.org/odo/ecso_00001576"
"absorbed fraction incoming photosynthetically active radiation","http://purl.dataone.org/odo/ecso_00001576"
"absorbed photosynthetically active radiation","http://purl.dataone.org/odo/ecso_00001575"
"abundance","http://purl.dataone.org/odo/ecso_00001188"
"acrocarpous bryophyte percent cover","http://purl.dataone.org/odo/ecso_00001631"
"active layer thickness","http://purl.dataone.org/odo/ecso_00001210"
"actual vapor pressure","http://purl.dataone.org/odo/ecso_00001577"
"adenosine triphosphate (atp) molar concentration in water","http://purl.dataone.org/odo/ecso_00000673"
"adfreeze","http://www.purl.dataone.org/odo/ecso_00010092"
"adjusted lower bound permafrost depth","http://purl.dataone.org/odo/ecso_00001700"
"adjusted permafrost depth","http://purl.dataone.org/odo/ecso_00001698"
"adjusted upper bound permafrost depth","http://purl.dataone.org/odo/ecso_00001699"
"adult bird banding interval","http://purl.dataone.org/odo/ecso_00002219"
"aerial cover percentage","http://purl.dataone.org/odo/ecso_00001190"
"aerosol optical depth","http://purl.dataone.org/odo/ecso_00002313"
"aerosol optical thickness","http://purl.dataone.org/odo/ecso_00002313"
"aerosol particle extinction at wavelength 361 nm","http://purl.dataone.org/odo/ecso_00002347"
"afdw","http://purl.dataone.org/odo/ecso_00000550"
"age of bird","http://purl.dataone.org/odo/ecso_00002038"
"age of dissolved organic carbon","http://purl.dataone.org/odo/ecso_00000657"
"age of reindeer","http://purl.dataone.org/odo/ecso_00002039"
"air density calculated from virtual temperature","http://purl.dataone.org/odo/ecso_00002037"
"air humidity","http://purl.dataone.org/odo/ecso_00001163"
"air moisture percentage","http://purl.dataone.org/odo/ecso_00001163"
"algae percent cover","http://purl.dataone.org/odo/ecso_00001647"
"alkalinity","http://purl.dataone.org/odo/ecso_00000521"
"allometric method","http://purl.dataone.org/odo/ecso_00000094"
"alpha photosynthetic efficiency","http://purl.dataone.org/odo/ecso_00000660"
"altitude","http://purl.dataone.org/odo/ecso_00001564"
"altitude above mean sea level","http://purl.dataone.org/odo/ecso_00001566"
"altitude above seafloor","http://purl.dataone.org/odo/ecso_00001565"
"aluminum ion concentration","http://purl.dataone.org/odo/ecso_00001762"
"aluminum ion concentration in ice","http://purl.dataone.org/odo/ecso_00001855"
"aluminum ion concentration in lake water","http://purl.dataone.org/odo/ecso_00001763"
"aluminum solubility in water","http://purl.dataone.org/odo/ecso_00001823"
"ammonium concentration","http://purl.dataone.org/odo/ecso_00001116"
"ammonium concentration in seawater","http://purl.dataone.org/odo/ecso_00001761"
"ammonium concentration in soil","http://purl.dataone.org/odo/ecso_00001759"
"ammonium concentration in water","http://purl.dataone.org/odo/ecso_00001760"
"ammonium concentration using o phthaldialdehyde","http://purl.dataone.org/odo/ecso_00001758"
"ammonium concentration using opa","http://purl.dataone.org/odo/ecso_00001758"
"ammonium mineralization rate","http://purl.dataone.org/odo/ecso_00001856"
"amount of nitrogen","http://purl.dataone.org/odo/ecso_00002209"
"amount of substance fraction","http://purl.dataone.org/odo/ecso_00000612"
"annual net primary production","http://purl.dataone.org/odo/ecso_00000037"
"annual net primary productivity","http://purl.dataone.org/odo/ecso_00000037"
"annual net primary productivity flux","http://purl.dataone.org/odo/ecso_00000037"
"annual npp","http://purl.dataone.org/odo/ecso_00000037"
"anpp","http://purl.dataone.org/odo/ecso_00000037"
"antimony concentration","http://purl.dataone.org/odo/ecso_00001979"
"antimony solubility in water","http://purl.dataone.org/odo/ecso_00001824"
"apar","http://purl.dataone.org/odo/ecso_00001575"
"apparent quantum yield","http://purl.dataone.org/odo/ecso_00002191"
"approximate freezing index","http://www.purl.dataone.org/odo/ecso_00010122"
"aquatic dissolved organic carbon","http://purl.dataone.org/odo/ecso_00000577"
"aquatic inorganic carbon concentration","http://purl.dataone.org/odo/ecso_00000539"
"aquatic inorganic carbon concentration, all forms","http://purl.dataone.org/odo/ecso_00000539"
"aquatic particulate organic carbon","http://purl.dataone.org/odo/ecso_00000578"
"aquatic total organic carbon concentration","http://purl.dataone.org/odo/ecso_00001118"
"aquitard","http://www.purl.dataone.org/odo/ecso_00010104"
"arctic lter block number","http://purl.dataone.org/odo/ecso_00002210"
"area of soil","http://purl.dataone.org/odo/ecso_00001723"
"area percentage","http://purl.dataone.org/odo/ecso_00001195"
"areal net primary productivity","http://purl.dataone.org/odo/ecso_00001969"
"arrival time","http://purl.dataone.org/odo/ecso_00002055"
"arsenic ion concentration","http://purl.dataone.org/odo/ecso_00001766"
"arsenic ion concentration in lake water","http://purl.dataone.org/odo/ecso_00001767"
"arsenic solubility in water","http://purl.dataone.org/odo/ecso_00001825"
"ash free dry weight","http://purl.dataone.org/odo/ecso_00000550"
"ash free dry weight biomass","http://purl.dataone.org/odo/ecso_00001151"
"ash weight","http://purl.dataone.org/odo/ecso_00000557"
"ash weight biomass","http://purl.dataone.org/odo/ecso_00001108"
"aspect","http://purl.dataone.org/odo/ecso_00002212"
"atmospheric carbon dioxide pool","http://purl.dataone.org/odo/ecso_00000207"
"atmospheric pressure","http://purl.dataone.org/odo/ecso_00001186"
"autotrophic respiration","http://purl.dataone.org/odo/ecso_00000017"
"autotrophic respiration carbon flux","http://purl.dataone.org/odo/ecso_00000017"
"average apparent quantum yield","http://purl.dataone.org/odo/ecso_00002192"
"avian influenza sample identifier","http://purl.dataone.org/odo/ecso_00002214"
"b glucosidase activity","http://purl.dataone.org/odo/ecso_00002216"
"backscatter at 532 nm","http://purl.dataone.org/odo/ecso_00002194"
"bacteria abundance","http://purl.dataone.org/odo/ecso_00001693"
"bacterial production rate","http://purl.dataone.org/odo/ecso_00002305"
"bare soil percent cover","http://purl.dataone.org/odo/ecso_00001648"
"barium ion concentration","http://purl.dataone.org/odo/ecso_00001768"
"barium ion concentration in ice","http://purl.dataone.org/odo/ecso_00001861"
"barium ion concentration in lake water","http://purl.dataone.org/odo/ecso_00001769"
"barium ion concentration in river water","http://purl.dataone.org/odo/ecso_00001862"
"barium uncertainty","http://purl.dataone.org/odo/ecso_00002217"
"barometric pressure","http://purl.dataone.org/odo/ecso_00001186"
"basal cryopeg","http://www.purl.dataone.org/odo/ecso_00010108"
"basal mineral substrate depth","http://purl.dataone.org/odo/ecso_00001864"
"beam attenuation coefficient","http://purl.dataone.org/odo/ecso_00001732"
"beam transmission percentage","http://purl.dataone.org/odo/ecso_00001731"
"beam transmission percentage standard deviation","http://purl.dataone.org/odo/ecso_00001746"
"beam transmission ratio","http://purl.dataone.org/odo/ecso_00001744"
"beam transmission ratio standard deviation","http://purl.dataone.org/odo/ecso_00001745"
"belowground standing biomass","http://purl.dataone.org/odo/ecso_00001111"
"benthic algae carbon pool","http://purl.dataone.org/odo/ecso_00000031"
"berry biomass","http://purl.dataone.org/odo/ecso_00001687"
"berry count","http://purl.dataone.org/odo/ecso_00001705"
"beta glucosidase activity","http://purl.dataone.org/odo/ecso_00002216"
"beta photosynthetic efficiency","http://purl.dataone.org/odo/ecso_00000661"
"bicarbonate concentration","http://purl.dataone.org/odo/ecso_00000538"
"bicarbonate pool","http://purl.dataone.org/odo/ecso_00000202"
"biomass concentration","http://purl.dataone.org/odo/ecso_00001202"
"biomass density","http://purl.dataone.org/odo/ecso_00000551"
"biomass method","http://purl.dataone.org/odo/ecso_00000555"
"biomass volumetric density","http://purl.dataone.org/odo/ecso_00001200"
"biomatter","http://purl.dataone.org/odo/ecso_00001114"
"bird and container weight","http://purl.dataone.org/odo/ecso_00002174"
"bird band identifier","http://purl.dataone.org/odo/ecso_00002218"
"bird nest identifier","http://purl.dataone.org/odo/ecso_00002382"
"black carbon concentration","http://purl.dataone.org/odo/ecso_00000654"
"blowing snow accumulation rate","http://purl.dataone.org/odo/ecso_00002195"
"blowing snow erosion rate","http://purl.dataone.org/odo/ecso_00002197"
"boron ion concentration","http://purl.dataone.org/odo/ecso_00001770"
"boron ion concentration in lake water","http://purl.dataone.org/odo/ecso_00001771"
"bottle integrity","http://purl.dataone.org/odo/ecso_00002314"
"bottle number","http://purl.dataone.org/odo/ecso_00002220"
"branch extension length","http://purl.dataone.org/odo/ecso_00001867"
"braun blanquet cover abundance scale","http://purl.dataone.org/odo/ecso_00002379"
"bromine concentration","http://purl.dataone.org/odo/ecso_00001870"
"bromine concentration in ice","http://purl.dataone.org/odo/ecso_00001871"
"bromine concentration in water","http://purl.dataone.org/odo/ecso_00001872"
"bromine monoxide average mixing ratio","http://purl.dataone.org/odo/ecso_00002350"
"bromine monoxide vertical column density","http://purl.dataone.org/odo/ecso_00002351"
"bromine monoxide vertical column density ratio","http://purl.dataone.org/odo/ecso_00002352"
"built feature count aerial density","http://purl.dataone.org/odo/ecso_00001171"
"buoy latitude","http://purl.dataone.org/odo/ecso_00002131"
"buoy longitude","http://purl.dataone.org/odo/ecso_00002133"
"c to n ratio","http://purl.dataone.org/odo/ecso_00001138"
"cadmium concentration","http://purl.dataone.org/odo/ecso_00001875"
"cadmium concentration in ice","http://purl.dataone.org/odo/ecso_00001876"
"cadmium solubility in water","http://purl.dataone.org/odo/ecso_00001826"
"calamagrostis deschampsioides percent cover","http://purl.dataone.org/odo/ecso_00001598"
"calcium carbonate concentration","http://purl.dataone.org/odo/ecso_00003196"
"calcium counts per second","http://purl.dataone.org/odo/ecso_00002183"
"calcium ion concentration","http://purl.dataone.org/odo/ecso_00001772"
"calcium ion concentration in ice","http://purl.dataone.org/odo/ecso_00001877"
"calcium ion concentration in lake water","http://purl.dataone.org/odo/ecso_00001773"
"calcium ion concentration in river water","http://purl.dataone.org/odo/ecso_00001873"
"calcium ion concentration in river water standard deviation","http://purl.dataone.org/odo/ecso_00001874"
"calcium ion concentration in soil","http://purl.dataone.org/odo/ecso_00001880"
"calcium ion concentration in water","http://purl.dataone.org/odo/ecso_00002031"
"calcium percent soils total exchange capacity","http://purl.dataone.org/odo/ecso_00002306"
"calcium retranslocation efficiency percentage","http://purl.dataone.org/odo/ecso_00002353"
"calcium solubility in water","http://purl.dataone.org/odo/ecso_00001827"
"calibrated water salinity","http://purl.dataone.org/odo/ecso_00001655"
"canopy diameter","http://purl.dataone.org/odo/ecso_00001215"
